Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Cuba,1.525548403,1.432768685,1.308529634,1.122623234,0.929404398,0.926723035,1.251130779,1.330525991,1.291170825,1.183516849,1.109097214,1.053897432,0.954436522,0.872115695,0.807528205,0.728123988,0.605769887,0.563102456,0.533661808,0.545264175,0.57346723,0.482823598,0.458019442,0.41712034,0.394638961,0.366221753,0.466455073,0.407533221,0.3882
Cyprus,0.956872724,1.017296229,0.909991766,0.995403686,0.917084773,0.674510231,0.707157179,0.750956865,0.73083027,0.740147444,0.804138299,0.746304751,0.699635776,0.594611036,0.496519958,0.474139044,0.440895441,0.382581262,0.336150159,0.353820057,0.344701183,0.310533442,0.322276985,0.308775337,0.335537865,0.394609437,0.395639045,0.370888804,0.329911497
Czech Republic,4.245137599,5.230087486,4.359142144,3.597056401,2.919736777,2.322469877,2.096819066,2.232062468,1.978223089,1.903391752,2.178295227,2.019082312,1.597279653,1.3563,1.134833333,0.971605839,0.859551282,0.721368421,0.556962025,0.600821256,0.609808612,0.557130435,0.596842105,0.563443396,0.558516746,0.631117021,0.603469388,0.540182648,0.47
Denmark,0.496449275,0.569280576,0.476732026,0.527972028,0.507692308,0.411405405,0.476489362,0.459252874,0.428531073,0.410168539,0.419512195,0.422424242,0.387932961,0.343440367,0.273067729,0.245037879,0.256042403,0.212068966,0.181784703,0.191152648,0.19189441,0.158459302,0.151192661,0.148197674,0.132379603,0.147359736,0.15715655,0.141626506,0.130896359
Djibouti,2.188676822,2.184152143,2.13363096,2.231527554,2.135495258,2.210060367,2.32791332,2.347438659,2.313969182,2.294433033,2.303934862,2.236130328,2.21612444,2.138110127,1.981767433,1.919187542,1.768821106,1.651101246,1.411262602,1.33446358,1.293624725,1.145951903,1.078578952,0.744070506,0.645691018,0.625440286,0.564612636,0.530627172,0.491234059
Dominica,1.191488424,1.092084462,1.110834547,1.058944116,0.983449055,0.983527202,0.821113567,0.825111959,0.775410548,0.753559059,0.779682929,0.617274744,0.540223893,0.553434595,0.571896809,0.603972369,0.589365568,0.569562776,0.523799959,1.145020219,0.486001215,0.459058081,0.637864944,0.461572767,0.461354446,0.443838656,0.416500623,0.423209553,0.417366759
Dominican Republic,1.22284376,1.006747069,0.995925481,0.905126644,0.943792668,0.864526615,0.837093408,0.847241345,0.87022618,0.880854294,0.833980771,1.029225898,1.059419284,1.234863932,1.150862153,0.75438326,0.762410222,0.684174061,0.62881127,0.616646557,0.5772354,0.555232438,0.543657948,0.522636712,0.491367107,0.497155721,0.478569895,0.443136213,0.438312598
Ecuador,4.619641399,4.194004891,4.062619245,3.868794207,3.297418519,3.192418815,3.225986346,2.962497085,2.942974172,4.057973716,4.306580781,3.075813448,2.648784395,2.349469171,2.155135838,1.936295936,1.77022183,1.626810751,1.364417176,1.400838769,1.299396494,1.006979809,0.921926874,0.883320732,0.832058824,0.840766237,0.91226838,0.867403846,0.85037037
Egypt,3.011476722,3.612672267,3.349102761,3.05826933,2.661567771,2.445343186,2.284942284,2.090223768,2.013113292,1.980030917,1.812025625,2.001662392,2.330230932,2.524646707,2.740584381,2.610471681,2.285233645,1.997,1.648650307,1.453915344,1.261506849,1.203813559,1.056953405,1.014409722,0.974477124,0.933920973,0.951686747,1.358262712,1.3176
El Salvador,1.712491484,1.732560314,1.635875932,1.50443039,1.397247488,1.230673067,1.135992867,1.147557963,1.079853384,1.06166172,1.004673113,1.013634516,0.998879494,0.994420658,0.982162894,0.940263892,0.893131341,0.875865164,0.797247328,0.792540687,0.742631148,0.67196515,0.644342551,0.593425392,0.590435825,0.589208063,0.570449713,0.522434666,0.514599462
Equatorial Guinea,36.03301255,36.87806629,30.80756257,37.63380508,51.38531944,36.86905763,31.18775408,20.07515301,27.97503739,19.46490396,13.50862363,11.23096417,10.84825169,9.107570992,6.035235155,3.57291971,2.994092507,2.168804311,1.495704265,1.995635398,1.815569277,1.374702718,1.30469666,1.280705766,1.212471815,1.896022601,2.04433682,1.846582828,1.739655826
Eritrea,0,0,11.94713952,12.39653396,12.24401563,12.30070554,10.97275485,11.78458381,10.85139662,11.97524258,11.8068298,10.5134652,10.55776006,8.848055529,6.861703727,6.809744739,6.060296416,5.887822604,5.651400736,4.281800533,5.001524216,3.87893157,0,0,0,0,0,0,0
Estonia,0,0,0,4.988790409,4.642028646,3.87298412,3.828315431,3.473388615,3.065699566,2.851416445,2.823990651,2.645681048,2.190585739,1.832422135,1.503573971,1.305828784,1.009856258,0.944506539,0.806686578,0.823536705,1.02876018,0.621592516,0.573887251,0.622046892,0.537472283,0.518463724,0.833073886,0.773978621,0.671212319
Eswatini,2.341430672,2.292105991,2.023714456,1.709392898,1.888263481,1.577414775,1.597244653,1.683462542,1.896120148,1.951050038,1.685747979,1.776363193,1.941031501,1.283210601,1.021630103,0.903047739,0.841598978,0.861829449,0.874292159,0.779238808,0.63530991,0.589150565,0.593452524,0.741674717,0.639937774,0.708895002,0.809744505,0.665459452,0.643028338
Ethiopia,7.728846909,7.12053902,9.377686545,10.63107849,13.8973278,12.8444935,11.95141791,12.46680226,14.54678029,14.99837651,13.67564156,14.48004851,16.42378407,14.79644801,12.8277167,10.78046098,9.095036753,7.583869817,5.69514529,4.89034427,5.473747166,5.196733676,4.009861631,3.781254232,3.38432762,2.997089226,2.690835789,2.486829283,2.428759734
Fiji,-0.538509091,-0.505837414,-0.424336533,-0.360762245,-0.295844185,-0.243611823,-0.201947457,-0.205349145,-0.283681988,-0.257443861,-0.2790792,-0.126498225,-0.200793244,-0.103629818,0.062327974,-0.006651756,0.016114781,-0.01468407,-0.096503565,-0.118441121,-0.057315553,-0.047688049,-0.050352308,-0.009546213,0.041177993,-0.036305029,0.014198195,0.035491434,0.050166687
Finland,0.27141844,0.29828125,0.310353982,0.406998378,0.416699029,0.290597015,0.343863636,0.342125984,0.297089552,0.289851852,0.299920635,0.456821705,0.438,0.40625731,0.332791878,0.260439024,0.298387097,0.24578125,0.192280702,0.203134921,0.23811245,0.041563636,0.022209302,0.023874539,0.008686131,-0.00457265,0.260912863,0.235372549,0.222572464
France,0.376314961,0.39584252,0.34855,0.355439394,0.333410072,0.2951125,0.304925466,0.331710345,0.331346667,0.32657047,0.355639706,0.323978261,0.294959732,0.2415,0.208481132,0.2012,0.186344828,0.159827068,0.143452055,0.148918216,0.153151515,0.13720979,0.147492537,0.140982206,0.127385965,0.151245902,0.149004049,0.142488462,0.129523297
Gabon,1.861467265,2.084058267,2.049212995,2.628667039,2.670122275,2.23035767,1.900232411,2.001195138,2.339733226,2.17671399,1.917967307,1.813561367,1.677458847,1.397440822,1.200738283,0.985100016,0.869514799,0.724986167,0.595324113,0.763598261,0.68950681,0.783072939,0.84447333,0.825199471,0.787191012,1.005346013,1.058907289,0.939750866,0.82847622
